Variant,Time,Mean_RFP,Mean_GFP,Mean_Ratio,Mean_SSC,Mean_FSC,sd_RFP,sd_GFP,sd_Ratio,sd_SSC,sd_FSC
57C3,30,814.306525,2205.851796,3.950166861,190311.7208,3392.50784,667.1002215,2108.431965,6.174143405,29699.14738,927.3006841
57C3,40,950.3140143,2784.927791,4.036770384,190865.8166,3397.311639,695.4913278,2246.769765,5.136428771,28776.65531,938.7808577
57C3,50,1208.146352,3497.244662,3.562048006,193331.9288,3397.180605,866.274058,2685.903209,2.912865917,31424.08844,919.45687
57C3,60,1443.663893,4281.015257,3.514939357,191709.0855,3377.517799,1015.377932,3373.080074,2.46461172,30928.74953,928.6828079
57C3,70,1578.484969,4628.880195,3.496279138,192617.0256,3363.416004,901.32862,2475.266157,2.605890412,31432.65664,883.280714
57C3,80,1747.870682,5181.500443,3.464875062,193716.4925,3369.422498,1023.806213,3125.239035,2.976553994,32563.73621,844.4884421
57C3,90,1884.384241,5582.531208,3.377297432,192104.0319,3462.46525,1215.756983,3921.856921,2.330608438,32627.17967,863.1073685
57C3,100,2010.877963,6060.419666,3.441320938,191675.8982,3506.16374,1818.935653,6484.090412,3.578811128,32574.73652,899.5418035
57C3,110,2057.247867,6159.963628,3.273626737,193144.7005,3622.8141,1176.25639,3812.146536,1.46850458,34302.66324,928.8135683
57C3,120,2156.060539,6338.741494,3.332902617,192399.7808,3651.958904,1147.140596,3443.616923,2.906949485,33428.64927,917.2531258
57C3,150,2411.10423,7122.559965,3.196349856,191011.5028,3657.818578,1376.474125,4639.88652,1.478865605,33232.28838,1044.622276
57C3,180,2678.451482,7861.584456,3.149206193,189588.1258,3772.20575,1587.097358,5108.140554,1.332726846,31154.14136,1007.328771
57C3,210,3026.301448,8947.983326,3.177180656,187285.5112,3816.550241,1685.365353,5757.665824,1.556476506,29200.56319,1300.973429
57C3,240,3414.133244,9897.88057,3.041272325,186422.7594,3828.665775,1687.269076,5240.364243,1.212525106,28951.03068,1131.556982
57P3,0,822.8558606,2083.388596,3.599264228,187899.1341,3884.279303,1103.385946,4095.440692,5.700810041,30306.32967,1342.807723
57P3,2,743.9702863,1860.214479,3.427158218,189026.7488,3864.425716,887.9525661,3362.23108,3.624877503,30978.74376,1376.716727
57P3,5,731.8991113,1749.424464,3.401667085,188634.3962,3592.489807,759.367391,2735.940378,5.239773334,29672.21308,1131.677177
57P3,10,675.9653361,1587.160714,3.41431996,189696,3506.432248,666.3025078,2433.528003,5.654478041,30156.83967,1014.292928
57P3,15,662.332981,1572.802854,3.509599408,190583.0698,3539.551268,516.8236963,1614.524951,5.386572029,32110.14668,1037.004171
57P3,20,723.0916964,1797.03566,3.540568653,189528.1589,3643.178808,1152.578073,4200.008779,4.745566305,28767.91367,1745.156452
57P3,25,728.1222165,1836.01709,3.832611506,189548.7105,3645.118591,790.1534944,2529.998019,6.706600818,28616.2097,1165.894266
57P3,30,788.8936382,2014.954274,3.595353627,191656.9702,3633.361829,631.8308204,1948.658143,4.134091804,30619.29535,1013.519211
57P3,40,926.8233605,2583.908569,3.88533591,191082.6156,3579.366683,683.5399435,2147.666373,5.675087742,28874.26504,972.8690002
57P3,50,1189.903768,3259.621425,3.477168851,192686.7726,3548.968679,800.8700598,2351.996585,3.023983865,30845.6722,1030.472917
57P3,60,1380.637688,3792.631951,3.304213693,193057.8923,3515.015887,865.1167144,2247.574062,2.570673594,32732.46297,908.2150589
57P3,70,1597.853701,4386.498905,3.152239853,192259.0276,3536.296978,965.8354067,2751.965812,1.900392188,31137.62552,902.3324952
57P3,80,1734.649733,4696.398841,3.144017537,192889.8396,3532.103832,1197.016926,3767.161956,2.110387261,30867.33825,875.5805337
57P3,90,1909.471498,5186.013257,3.081700767,191140.03,3604.479894,1256.553928,4045.760834,1.934745061,31052.9027,880.3749068
57P3,100,2028.938482,5402.975131,3.021777278,191664.9215,3660.675829,1075.029079,2851.579786,1.888816794,32021.55364,855.3998782
57P3,110,2194.443192,5763.21379,2.849112497,191973.8005,3717.652645,1211.031414,3592.633603,1.345278751,32566.04134,994.896187
57P3,120,2249.293157,5887.749227,2.849414292,191298.5713,3695.124503,1172.825846,3280.060367,1.395738506,31322.48762,940.8028324
57P3,150,2547.976375,6768.448454,2.844098137,189482.2268,3851.545103,1363.661122,4743.488878,1.177462959,30418.16765,1059.414162
57P3,180,2785.357642,7403.320961,2.85871295,189072.4332,3846.330131,1291.358139,3744.714535,1.697326142,31463.50862,987.510523
57P3,210,3119.32872,8217.813149,2.783626142,187390.2284,3805.115052,1483.607683,4365.459343,1.122036922,29911.09384,989.2136187
57P3,240,4171.94157,9417.323818,2.342777122,187005.6021,3878.280107,2048.387995,5660.96128,0.937885439,28953.03351,1103.580745
33Y3,2,707.8062016,1801.069214,3.882135328,190280.2924,4554.802879,696.4475796,2464.060532,7.225863948,35286.77277,1550.746372
33Y3,5,673.4894538,1758.057328,4.019757961,189107.1585,4338.410492,701.098224,2495.806607,6.413175179,33184.72378,1409.003043
33Y3,10,642.4826482,1598.830219,4.103516038,190563.5024,4488.809931,456.8542449,1187.965173,7.203677068,33894.50242,1360.232018
33Y3,15,665.614589,1685.676102,3.895419877,190181.9401,4398.170386,545.5198562,1717.57256,6.681232937,33361.1554,1337.884522
33Y3,20,735.6678374,1867.198194,3.991031915,190310.8881,4306.162569,739.1747346,2346.335618,7.883099243,32479.30207,1298.77699
33Y3,25,809.5145005,2224.965628,4.006993315,192501.0011,4266.964017,825.6331383,2835.700563,5.383773047,34556.57996,1316.907721
33Y3,30,908.5243506,2517.91342,3.851849522,192039.8961,4375.304654,769.5148117,2960.446053,5.339223646,34138.99596,1317.504482
33Y3,40,1273.844717,3308.65048,3.138753776,193561.1355,4281.131804,753.7452838,2140.307147,2.331303064,34778.00555,1311.703189
33Y3,50,1831.349667,4187.989111,2.769122196,187514.0375,4267.428917,999.3153643,2234.52717,4.293064677,29928.0892,1359.667268
33Y3,60,2640.761721,4943.044126,2.046459007,191174.5306,4081.88086,1246.134909,2271.03908,0.91246803,33729.66872,1345.715992
33Y3,70,3724.20073,5622.409367,1.619378314,186564.8273,4037.21472,1654.265699,2649.068304,0.648255002,28278.64929,1422.571586
33Y3,80,5486.262712,6345.391041,1.220444427,186789.5012,4312.282082,2454.591591,2975.028775,0.451644,30218.86098,1594.306569
33Y3,90,7158.628152,6781.973021,1.005627909,185792.6381,4042.033431,3061.748279,3138.792421,0.411645268,29488.06955,1545.718058
33Y3,100,9499.795791,7384.762799,0.811433785,185307.8862,3965.783845,4084.968831,4617.195178,0.349834119,29746.66956,1512.363411
33Y3,110,12615.00918,7877.443305,0.653458636,189035.2657,4002.12311,5101.223691,4962.523179,0.308940187,36198.64594,1604.247945
33Y3,120,16131.31065,8432.85865,0.543186587,186218.9367,4079.441983,6528.985352,4615.93545,0.230787971,33616.14196,1688.372775
33Y3,150,27887.95731,9462.801314,0.362875796,183849.1954,4456.528188,12815.0347,7722.56657,0.30079153,30409.98132,3063.244097
33Y3,180,38920.13868,9049.139848,0.256776468,187507.6419,4611.67876,18997.03882,7876.459345,0.260187418,34902.78165,2668.982846
33Y3,210,51226.33498,8746.01601,0.203313333,187528.197,4935.67734,31178.3351,10663.04998,0.273193888,31945.62649,3542.771305
33Y3,240,64721.17126,9466.871726,0.185288619,187962.1115,5654.248489,49701.86849,11648.45179,0.270677083,31146.22685,5820.678657
36I3,0,676.0671321,1772.986574,4.168049969,188712.971,4731.701396,492.8200739,1361.684692,6.923589131,33740.32441,1664.186955
36I3,2,621.0395722,1560.490909,4.254932413,190236.2011,4459.093048,522.1285576,1951.132927,9.67955722,35208.58287,1664.583363
36I3,5,657.9425732,1637.935395,3.912935681,188194.3501,4297.937604,937.3989239,4008.24786,6.698651066,32119.27252,1406.276187
36I3,10,600.891181,1434.09541,3.610161635,189943.2862,4145.946364,455.1740807,1335.529375,4.794862491,33341.73967,1374.247346
36I3,15,642.7631436,1613.086721,3.884403822,191988.0672,4265.948509,727.0483136,2418.501918,5.838533743,34214.56895,1376.823902
36I3,20,646.7174684,1595.471899,3.949782025,191952.0405,4167.535696,508.8288689,1518.777483,6.599954405,34852.30394,1311.120392
36I3,25,740.7406054,1880.170668,3.76080684,191943.3486,4228.025052,505.952599,1187.476326,4.969438093,34076.94289,1330.120963
36I3,30,836.5991561,2301.621835,3.966576198,191436.1519,4148.490506,580.0246002,1551.280939,5.430494095,34237.69946,1266.978925
36I3,40,1189.110219,3063.957196,3.314753125,193138.7822,4183.653826,789.7032055,2071.917739,3.349980663,35583.40857,1266.417474
36I3,50,1740.453409,3880.939773,2.566793302,187713.1636,4210.76875,952.1603778,2295.414104,1.467985568,29553.81473,1264.062912
36I3,60,2634.591035,4836.976757,2.021237704,190306.4615,4246.443276,1287.219652,2351.867235,0.933492945,32719.63856,1337.270538
36I3,70,3729.877073,5587.805031,1.576301186,187619.7507,3943.216123,1698.315682,3427.261485,0.613480459,31267.64201,1298.969117
36I3,80,5133.759249,6220.922026,1.274850164,186420.453,3964.585657,2391.749249,4251.77306,0.514803317,30200.25397,1398.671066
36I3,90,6715.317214,6629.942429,1.029481009,183916.7668,3762.953944,2690.388186,3428.339038,0.399542035,29153.69075,1424.94171
36I3,100,9038.058824,6978.880154,0.814906689,185954.7971,3816.501924,3711.458212,3481.075134,0.354707686,32956.46412,1869.589383
36I3,110,12052.83175,7605.89418,0.662333322,187115.6825,3854.443386,5119.24681,3795.154162,0.271455145,35068.30665,1560.872583
36I3,120,15457.50391,8171.576421,0.553153798,186640.4257,3934.550861,6179.678166,4622.363321,0.275888422,35196.18195,2002.050564
36I3,150,29127.68079,9681.134838,0.352182366,181975.5641,3976.930655,12267.7134,5240.714448,0.234893005,29660.39346,1894.644974
36I3,180,50693.15167,9360.894171,0.209999473,186865.2224,4005.499151,24143.99616,7341.628353,0.22681081,34576.72122,1846.596009
36I3,210,72054.04889,8483.264668,0.146241227,186044.9126,4164.385267,41133.07076,11387.86125,0.245444653,30143.64817,2312.51302
36I3,240,91916.39001,7961.510055,0.121512812,187806.9665,4365.073736,57337.38415,8093.429516,0.240570963,30446.66971,2757.743317
40A3,0,611.3212753,1446.90374,3.623826558,191974.5727,5123.589822,629.0948955,2298.744305,4.587254569,38089.18202,2096.064048
